district_code,upazila_code,name_en,name_bn,lat,lng,source,is_verified
38,296,Lakhai,লাখাই,,,nuhil/bangladesh-geocode,false
38,297,Chunarughat,চুনারুঘাট,,,nuhil/bangladesh-geocode,false
38,298,Habiganj Sadar,হবিগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
38,299,Madhabpur,মাধবপুর,,,nuhil/bangladesh-geocode,false
1,3,Brahmanpara,ব্রাহ্মণপাড়া,,,nuhil/bangladesh-geocode,false
3,30,Nabinagar,নবীনগর,,,nuhil/bangladesh-geocode,false
39,300,Sunamganj Sadar,সুনামগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
39,301,South Sunamganj,দক্ষিণ সুনামগঞ্জ,,,nuhil/bangladesh-geocode,false
39,302,Bishwambarpur,বিশ্বম্ভরপুর,,,nuhil/bangladesh-geocode,false
39,303,Chhatak,ছাতক,,,nuhil/bangladesh-geocode,false
39,304,Jagannathpur,জগন্নাথপুর,,,nuhil/bangladesh-geocode,false
39,305,Dowarabazar,দোয়ারাবাজার,,,nuhil/bangladesh-geocode,false
39,306,Tahirpur,তাহিরপুর,,,nuhil/bangladesh-geocode,false
39,307,Dharmapasha,ধর্মপাশা,,,nuhil/bangladesh-geocode,false
39,308,Jamalganj,জামালগঞ্জ,,,nuhil/bangladesh-geocode,false
39,309,Shalla,শাল্লা,,,nuhil/bangladesh-geocode,false
3,31,Bancharampur,বাঞ্ছারামপুর,,,nuhil/bangladesh-geocode,false
39,310,Derai,দিরাই,,,nuhil/bangladesh-geocode,false
40,311,Belabo,বেলাবো,,,nuhil/bangladesh-geocode,false
40,312,Monohardi,মনোহরদী,,,nuhil/bangladesh-geocode,false
40,313,Narsingdi Sadar,নরসিংদী সদর,,,nuhil/bangladesh-geocode,false
40,314,Palash,পলাশ,,,nuhil/bangladesh-geocode,false
40,315,Raipura,রায়পুরা,,,nuhil/bangladesh-geocode,false
40,316,Shibpur,শিবপুর,,,nuhil/bangladesh-geocode,false
41,317,Kaliganj,কালীগঞ্জ,,,nuhil/bangladesh-geocode,false
41,318,Kaliakair,কালিয়াকৈর,,,nuhil/bangladesh-geocode,false
41,319,Kapasia,কাপাসিয়া,,,nuhil/bangladesh-geocode,false
3,32,Bijoynagar,বিজয়নগর,,,nuhil/bangladesh-geocode,false
41,320,Gazipur Sadar,গাজীপুর সদর,,,nuhil/bangladesh-geocode,false
41,321,Sreepur,শ্রীপুর,,,nuhil/bangladesh-geocode,false
42,322,Shariatpur Sadar,শরিয়তপুর সদর,,,nuhil/bangladesh-geocode,false
42,323,Naria,নড়িয়া,,,nuhil/bangladesh-geocode,false
42,324,Zajira,জাজিরা,,,nuhil/bangladesh-geocode,false
42,325,Gosairhat,গোসাইরহাট,,,nuhil/bangladesh-geocode,false
42,326,Bhedarganj,ভেদরগঞ্জ,,,nuhil/bangladesh-geocode,false
42,327,Damudya,ডামুড্যা,,,nuhil/bangladesh-geocode,false
43,328,Araihazar,আড়াইহাজার,,,nuhil/bangladesh-geocode,false
43,329,Bandar,বন্দর,,,nuhil/bangladesh-geocode,false
4,33,Rangamati Sadar,রাঙ্গামাটি সদর,,,nuhil/bangladesh-geocode,false
43,330,Narayanganj Sadar,নারায়নগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
43,331,Rupganj,রূপগঞ্জ,,,nuhil/bangladesh-geocode,false
43,332,Sonargaon,সোনারগাঁ,,,nuhil/bangladesh-geocode,false
44,333,Basail,বাসাইল,,,nuhil/bangladesh-geocode,false
44,334,Bhuapur,ভুয়াপুর,,,nuhil/bangladesh-geocode,false
44,335,Delduar,দেলদুয়ার,,,nuhil/bangladesh-geocode,false
44,336,Ghatail,ঘাটাইল,,,nuhil/bangladesh-geocode,false
44,337,Gopalpur,গোপালপুর,,,nuhil/bangladesh-geocode,false
44,338,Madhupur,মধুপুর,,,nuhil/bangladesh-geocode,false
44,339,Mirzapur,মির্জাপুর,,,nuhil/bangladesh-geocode,false
4,34,Kaptai,কাপ্তাই,,,nuhil/bangladesh-geocode,false
44,340,Nagarpur,নাগরপুর,,,nuhil/bangladesh-geocode,false
44,341,Sakhipur,সখিপুর,,,nuhil/bangladesh-geocode,false
44,342,Tangail Sadar,টাঙ্গাইল সদর,,,nuhil/bangladesh-geocode,false
44,343,Kalihati,কালিহাতী,,,nuhil/bangladesh-geocode,false
44,344,Dhanbari,ধনবাড়ী,,,nuhil/bangladesh-geocode,false
45,345,Itna,ইটনা,,,nuhil/bangladesh-geocode,false
45,346,Katiadi,কটিয়াদী,,,nuhil/bangladesh-geocode,false
45,347,Bhairab,ভৈরব,,,nuhil/bangladesh-geocode,false
45,348,Tarail,তাড়াইল,,,nuhil/bangladesh-geocode,false
45,349,Hossainpur,হোসেনপুর,,,nuhil/bangladesh-geocode,false
4,35,Kawkhali,কাউখালী,,,nuhil/bangladesh-geocode,false
45,350,Pakundia,পাকুন্দিয়া,,,nuhil/bangladesh-geocode,false
45,351,Kuliarchar,কুলিয়ারচর,,,nuhil/bangladesh-geocode,false
45,352,Kishoreganj Sadar,কিশোরগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
45,353,Karimgonj,করিমগঞ্জ,,,nuhil/bangladesh-geocode,false
45,354,Bajitpur,বাজিতপুর,,,nuhil/bangladesh-geocode,false
45,355,Austagram,অষ্টগ্রাম,,,nuhil/bangladesh-geocode,false
45,356,Mithamoin,মিঠামইন,,,nuhil/bangladesh-geocode,false
45,357,Nikli,নিকলী,,,nuhil/bangladesh-geocode,false
46,358,Harirampur,হরিরামপুর,,,nuhil/bangladesh-geocode,false
46,359,Saturia,সাটুরিয়া,,,nuhil/bangladesh-geocode,false
4,36,Baghaichari,বাঘাইছড়ি,,,nuhil/bangladesh-geocode,false
46,360,Manikganj Sadar,মানিকগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
46,361,Gior,ঘিওর,,,nuhil/bangladesh-geocode,false
46,362,Shibaloy,শিবালয়,,,nuhil/bangladesh-geocode,false
46,363,Doulatpur,দৌলতপুর,,,nuhil/bangladesh-geocode,false
46,364,Singiar,সিংগাইর,,,nuhil/bangladesh-geocode,false
47,365,Savar,সাভার,,,nuhil/bangladesh-geocode,false
47,366,Dhamrai,ধামরাই,,,nuhil/bangladesh-geocode,false
47,367,Keraniganj,কেরাণীগঞ্জ,,,nuhil/bangladesh-geocode,false
47,368,Nawabganj,নবাবগঞ্জ,,,nuhil/bangladesh-geocode,false
47,369,Dohar,দোহার,,,nuhil/bangladesh-geocode,false
4,37,Barkal,বরকল,,,nuhil/bangladesh-geocode,false
48,370,Munshiganj Sadar,মুন্সিগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
48,371,Sreenagar,শ্রীনগর,,,nuhil/bangladesh-geocode,false
48,372,Sirajdikhan,সিরাজদিখান,,,nuhil/bangladesh-geocode,false
48,373,Louhajanj,লৌহজং,,,nuhil/bangladesh-geocode,false
48,374,Gajaria,গজারিয়া,,,nuhil/bangladesh-geocode,false
48,375,Tongibari,টংগীবাড়ি,,,nuhil/bangladesh-geocode,false
49,376,Rajbari Sadar,রাজবাড়ী সদর,,,nuhil/bangladesh-geocode,false
49,377,Goalanda,গোয়ালন্দ,,,nuhil/bangladesh-geocode,false
49,378,Pangsa,পাংশা,,,nuhil/bangladesh-geocode,false
49,379,Baliakandi,বালিয়াকান্দি,,,nuhil/bangladesh-geocode,false
4,38,Langadu,লংগদু,,,nuhil/bangladesh-geocode,false
49,380,Kalukhali,কালুখালী,,,nuhil/bangladesh-geocode,false
50,381,Madaripur Sadar,মাদারীপুর সদর,,,nuhil/bangladesh-geocode,false
50,382,Shibchar,শিবচর,,,nuhil/bangladesh-geocode,false
50,383,Kalkini,কালকিনি,,,nuhil/bangladesh-geocode,false
50,384,Rajoir,রাজৈর,,,nuhil/bangladesh-geocode,false
51,385,Gopalganj Sadar,গোপালগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
51,386,Kashiani,কাশিয়ানী,,,nuhil/bangladesh-geocode,false
51,387,Tungipara,টুংগীপাড়া,,,nuhil/bangladesh-geocode,false
51,388,Kotalipara,কোটালীপাড়া,,,nuhil/bangladesh-geocode,false
51,389,Muksudpur,মুকসুদপুর,,,nuhil/bangladesh-geocode,false
4,39,Rajasthali,রাজস্থলী,,,nuhil/bangladesh-geocode,false
52,390,Faridpur Sadar,ফরিদপুর সদর,,,nuhil/bangladesh-geocode,false
52,391,Alfadanga,আলফাডাঙ্গা,,,nuhil/bangladesh-geocode,false
52,392,Boalmari,বোয়ালমারী,,,nuhil/bangladesh-geocode,false
52,393,Sadarpur,সদরপুর,,,nuhil/bangladesh-geocode,false
52,394,Nagarkanda,নগরকান্দা,,,nuhil/bangladesh-geocode,false
52,395,Bhanga,ভাঙ্গা,,,nuhil/bangladesh-geocode,false
52,396,Charbhadrasan,চরভদ্রাসন,,,nuhil/bangladesh-geocode,false
52,397,Madhukhali,মধুখালী,,,nuhil/bangladesh-geocode,false
52,398,Saltha,সালথা,,,nuhil/bangladesh-geocode,false
53,399,Panchagarh Sadar,পঞ্চগড় সদর,,,nuhil/bangladesh-geocode,false
1,4,Chandina,চান্দিনা,,,nuhil/bangladesh-geocode,false
4,40,Belaichari,বিলাইছড়ি,,,nuhil/bangladesh-geocode,false
53,400,Debiganj,দেবীগঞ্জ,,,nuhil/bangladesh-geocode,false
53,401,Boda,বোদা,,,nuhil/bangladesh-geocode,false
53,402,Atwari,আটোয়ারী,,,nuhil/bangladesh-geocode,false
53,403,Tetulia,তেতুলিয়া,,,nuhil/bangladesh-geocode,false
54,404,Nawabganj,নবাবগঞ্জ,,,nuhil/bangladesh-geocode,false
54,405,Birganj,বীরগঞ্জ,,,nuhil/bangladesh-geocode,false
54,406,Ghoraghat,ঘোড়াঘাট,,,nuhil/bangladesh-geocode,false
54,407,Birampur,বিরামপুর,,,nuhil/bangladesh-geocode,false
54,408,Parbatipur,পার্বতীপুর,,,nuhil/bangladesh-geocode,false
54,409,Bochaganj,বোচাগঞ্জ,,,nuhil/bangladesh-geocode,false
4,41,Juraichari,জুরাছড়ি,,,nuhil/bangladesh-geocode,false
54,410,Kaharol,কাহারোল,,,nuhil/bangladesh-geocode,false
54,411,Fulbari,ফুলবাড়ী,,,nuhil/bangladesh-geocode,false
54,412,Dinajpur Sadar,দিনাজপুর সদর,,,nuhil/bangladesh-geocode,false
54,413,Hakimpur,হাকিমপুর,,,nuhil/bangladesh-geocode,false
54,414,Khansama,খানসামা,,,nuhil/bangladesh-geocode,false
54,415,Birol,বিরল,,,nuhil/bangladesh-geocode,false
54,416,Chirirbandar,চিরিরবন্দর,,,nuhil/bangladesh-geocode,false
