adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm3_ref_name,center_lat,center_lon
Chauddagram,,,,BD20190031,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,273.9433477,v03,en,,,,,23.22183679,91.27969434
Daudkandi,,,,BD20190036,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,218.9750035,v03,en,,,,,23.50293787,90.77310239
Debidwar,,,,BD20190040,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,239.2658514,v03,en,,,,,23.5797482,90.99808648
Homna,,,,BD20190054,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,124.144917,v03,en,,,,,23.68000235,90.81149876
Laksam,,,,BD20190072,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,140.6030114,v03,en,,,,,23.23144364,91.10487647
Lalmai,,,,BD20190073,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,120.0625044,v03,en,,,,,23.29766555,91.15944077
Manoharganj,,,,BD20190074,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,163.3462963,v03,en,,,,,23.13846962,91.0667073
Meghna,,,,BD20190075,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,110.0122931,v03,en,,,,,23.62583999,90.69021175
Muradnagar,,,,BD20190081,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,341.7161684,v03,en,,,,,23.67809628,90.94281174
Nangalkot,,,,BD20190087,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,235.2504747,v03,en,,,,,23.14025225,91.20909928
Sadar Dakkhin,,,,BD20190033,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,112.6701197,v03,en,,,,,23.38833515,91.20221146
Titas,,,,BD20190094,Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,110.8202347,v03,en,,,,,23.59090553,90.79551033
Chhagalnaiya,,,,BD20300014,Feni,,,,BD2030,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,135.0749833,v03,en,,,,,23.02016933,91.50651106
Daganbhuiyan,,,,BD20300025,Feni,,,,BD2030,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,141.0772494,v03,en,,,,,22.97202602,91.29997117
Feni Sadar,,,,BD20300029,Feni,,,,BD2030,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,214.2566117,v03,en,,,,,22.99071311,91.41585715
Fulgazi,,,,BD20300041,Feni,,,,BD2030,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,102.9902716,v03,en,,,,,23.11846473,91.44164398
