district_code,upazila_code,name_en,name_bn,lat,lng,source,is_verified
2019,20190087,Nangalkot,,23.14025225,91.20909928,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190033,Sadar Dakkhin,,23.38833515,91.20221146,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2019,20190094,Titas,,23.59090553,90.79551033,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2030,20300014,Chhagalnaiya,,23.02016933,91.50651106,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2030,20300025,Daganbhuiyan,,22.97202602,91.29997117,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2030,20300029,Feni Sadar,,22.99071311,91.41585715,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2030,20300041,Fulgazi,,23.11846473,91.44164398,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2030,20300051,Parashuram,,23.20244186,91.43849193,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2030,20300094,Sonagazi,,22.85375019,91.396878,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460043,Dighinala,,23.41579635,92.05900408,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460047,Guimara,,22.95816063,91.92264133,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460049,Khagrachhari Sadar,,23.15840266,91.9983411,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460061,Lakkhichhari,,22.78361647,91.93107935,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460065,Mahalchhari,,22.9835062,92.04945547,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460067,Manikchhari,,22.85186911,91.8267801,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460070,Matiranga,,23.16268454,91.85491132,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460077,Panchhari,,23.34218676,91.92458743,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2046,20460080,Ramgarh,,22.95403742,91.77612993,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2051,20510033,Kamalnagar,,22.75743615,90.8537509,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2051,20510043,Lakshmipur Sadar,,22.91127372,90.84389751,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2051,20510058,Raipur,,23.00469424,90.73152598,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2051,20510065,Ramganj,,23.09675351,90.87272553,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2051,20510073,Ramgati,,22.62490396,90.92223747,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750007,Begumganj,,22.93091025,91.09425854,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750010,Chatkhil,,23.0533338,90.96372295,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750021,Companiganj,,22.75865966,91.30075882,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750036,Hatiya,,22.3481622,91.09140468,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750047,Kabirhat,,22.81087606,91.19933235,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750087,Noakhali Sadar,,22.80832731,91.04870857,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750080,Senbag,,22.99063881,91.21267406,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750083,Sonaimuri,,23.0262944,91.07783166,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2075,20750085,Subarnachar,,22.61923455,91.15640167,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840007,Baghaichhari,,23.38280723,92.23714299,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840021,Barkal,,22.83095905,92.34613321,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840029,Belaichhari,,22.2574125,92.48313972,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840047,Jurachhari,,22.55930901,92.45549633,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840036,Kaptai,,22.46236678,92.20166334,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840025,Kawkhali,,22.62348916,92.0122707,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840058,Langadu,,22.97008989,92.21665497,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840075,Naniarchar,,22.83365535,92.07263493,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840078,Rajasthali,,22.371584,92.2445794,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
2084,20840087,Rangamati Sadar,,22.64512234,92.20136392,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3026,30260014,Dhamrai,,23.93897826,90.14080346,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3026,30260018,Dohar,,23.60157963,90.10840628,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3026,30260038,Keraniganj,,23.69433062,90.34365782,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3026,30260062,Nawabganj,,23.67242589,90.16080129,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3026,30260072,Savar,,23.87995122,90.28057123,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290003,Alfadanga,,23.29513493,89.67033006,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290010,Bhanga,,23.38910046,90.0100025,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290018,Boalmari,,23.39867627,89.69242212,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290021,Char Bhadrasan,,23.59005054,89.98012695,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290047,Faridpur Sadar,,23.5974305,89.81272444,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290056,Madhukhali,,23.54110013,89.61112757,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290062,Nagarkanda,,23.43433249,89.89562244,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290084,Sadarpur,,23.49841249,90.05092519,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3029,30290090,Saltha,,23.41804522,89.80078563,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
3033,30330030,Gazipur Sadar,,24.08486105,90.42475588,HDX cod-ab-bgd v03 (OCHA admin boundaries; adm1/2/3 centroid lat/lon),true
